"Activo","Nombre","Clase","Pais Sede","Tipo de Activo","Activo /|Cancelado","Codigo","Bolsa / Fuente","Descripción del|tipo valor","Fecha del|Inicio de la Serie","Fecha de la|Ult Cotización","Moneda de las|Cotizaciones","Sector NAICS|ult disponib","Sector|Economatica"
"NADROB<XMEX>","Nadro","B","MX","Accion","cancelado","NADROB","BMV","-","1997-01-16","2004-12-02","Peso Mexico","Comercio al por mayor de material primario para productos rurales","Comercio"
"OPCAPA<XMEX>","Opcap","A","MX","Accion","cancelado","OPCAPA","BMV","-","-","-","Peso Mexico","Corporativos","Otros"
"OPCAPB<XMEX>","Opcap","B","MX","Accion","cancelado","OPCAPB","BMV","-","1998-11-04","2001-11-21","Peso Mexico","Corporativos","Otros"
"PARRAS<XMEX>","Parras Cia Indus","Ord","MX","Accion","cancelado","PARRAS","BMV","-","1992-02-19","2008-12-22","Peso Mexico","Fabricación de telas","Textil"
"PATRIA<XMEX>","Patria Reasegurador","*","MX","Accion","cancelado","PATRIA","BMV","-","1994-09-09","2011-03-28","Peso Mexico","Instituciones de seguros","Finanzas y Seguros"
"PATRIAB<XMEX>","Patria Reasegurador","B","MX","Accion","cancelado","PATRIAB","BMV","-","1999-10-01","2004-07-27","Peso Mexico","Instituciones de seguros","Finanzas y Seguros"
"PEPSIGXB<XMEX>","Pepsigx (Gemex)","B","MX","Accion","cancelado","PEPSIGXB","BMV","-","1991-12-18","2001-05-04","Peso Mexico","Industria de las bebidas","Alimentos y Beb"
"PEPSIGXCPO<XMEX>","Pepsigx (Gemex)","CPO","MX","Accion","cancelado","PEPSIGXCPO","BMV","-","1994-04-14","2002-11-22","Peso Mexico","Industria de las bebidas","Alimentos y Beb"
"PERKINSB<XMEX>","Perkins Motores","B","MX","Accion","cancelado","PERKINSB","BMV","-","1992-08-28","2003-06-17","Peso Mexico","Fabricación de motores de combustión interna, turbinas y transmisiones","Maquinaria Indust"
"PYPB<XMEX>","Planeacion Y Proyec","B","MX","Accion","cancelado","PYPB","BMV","-","1994-06-10","2009-12-17","Peso Mexico","Construcción pesada y ingeniería civil","Construcción"
"PLAVICO<XMEX>","Plavico","Ord","MX","Accion","cancelado","PLAVICO","BMV","-","1998-11-12","1999-11-15","Peso Mexico","Fabricación de productos químicos básicos","Química"
