Activo,Nombre,Clase,Pais Sede,Tipo de Activo,Activo /|Cancelado,Codigo,Bolsa / Fuente,Descripción del|tipo valor,Fecha del|Inicio de la Serie,Fecha de la|Ult Cotización,Moneda de las|Cotizaciones,Sector NAICS|ult disponib,Sector|Economatica
ORBIA<XMEX>,Orbia,*,MX,Accion,activo,ORBIA,BMV,Acciones,09/12/1992,08/05/2026,Peso Mexico,Fabricación de otra maquinaria y equipo para la industria en general,Maquinaria Indust
PV<XMEX>,Peña Verde,*,MX,Accion,activo,PV,BMV,Acciones,26/10/2012,05/05/2026,Peso Mexico,Servicios relacionados con los seguros y las fianzas,Finanzas y Seguros
PE&OLES<XMEX>,Penoles Industrias,*,MX,Accion,activo,PE&OLES,BMV,Acciones,03/12/1991,08/05/2026,Peso Mexico,Minería de minerales no metálicos,Minería
PLANI<XMEX>,Planigrupo Latam,*,MX,Accion,activo,PLANI,BMV,Acciones,30/06/2016,25/04/2023,Peso Mexico,Edificación no residencial,Construcción
PMCPACA<XMEX>,Pmcpac,A,MX,Accion,activo,PMCPACA,BMV,Acciones,23/03/2018,06/08/2020,Peso Mexico,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
PMCPACB<XMEX>,Pmcpac,B,MX,Accion,activo,PMCPACB,BMV,Acciones,-,-,Peso Mexico,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
PMCPACC<XMEX>,Pmcpac,C,MX,Accion,activo,PMCPACC,BMV,Acciones,-,-,Peso Mexico,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
POSADASA<XMEX>,Posadas Gpo,A,MX,Accion,activo,POSADASA,BMV,Acciones,21/12/1992,07/05/2026,Peso Mexico,"Hoteles, moteles y similares",Otros
PROCORPA<XMEX>,Procorp,A,MX,Accion,activo,PROCORPA,BMV,Acciones,01/09/2004,25/02/2015,Peso Mexico,Uniones de crédito e instituciones de ahorro,Finanzas y Seguros
PROCORPB<XMEX>,Procorp,B,MX,Accion,activo,PROCORPB,BMV,Acciones,16/12/1994,21/04/2026,Peso Mexico,Uniones de crédito e instituciones de ahorro,Finanzas y Seguros
PINFRA<XMEX>,Prom Y Op de Infra,*,MX,Accion,activo,PINFRA,BMV,Acciones,22/09/1993,08/05/2026,Peso Mexico,Otras construcciones y ingeniería civil,Construcción
PINFRAL<XMEX>,Prom Y Op de Infra,L,MX,Accion,activo,PINFRAL,BMV,Acciones,16/07/2014,08/05/2026,Peso Mexico,Otras construcciones y ingeniería civil,Construcción
PASAB<XMEX>,Promotora Ambiental,B,MX,Accion,activo,PASAB,BMV,Acciones,11/11/2005,21/04/2026,Peso Mexico,Servicios de apoyo a los negocios,Otros
TEAKCPO<XMEX>,Proteak Uno,CPO,MX,Accion,activo,TEAKCPO,BMV,Acciones,01/07/2010,08/05/2026,Peso Mexico,Fabricación de otros productos de madera,Otros
Q<XMEX>,Qualitas Controladora,*,MX,Accion,activo,Q,BMV,Acciones,17/07/2012,08/05/2026,Peso Mexico,Instituciones de seguros,Finanzas y Seguros
RCENTROA<XMEX>,Radio Centro,A,MX,Accion,activo,RCENTROA,BMV,Acciones,03/08/1993,05/03/2024,Peso Mexico,Telecomunicaciones,Telecomunicación
RA<XMEX>,Regional,A,MX,Accion,activo,RA,BMV,Acciones,15/07/2011,08/05/2026,Peso Mexico,Bancos,Finanzas y Seguros
RLHA<XMEX>,Rlh Properties,A,MX,Accion,activo,RLHA,BMV,Acciones,05/11/2015,31/03/2026,Peso Mexico,"Promotores de espectáculos artísticos, culturales, deportivos y similares",Otros
RLHB<XMEX>,Rlh Properties,B,MX,Accion,activo,RLHB,BMV,Acciones,13/12/2016,17/03/2017,Peso Mexico,"Promotores de espectáculos artísticos, culturales, deportivos y similares",Otros
AGUA<XMEX>,Rotoplas,*,MX,Accion,activo,AGUA,BMV,Acciones,10/12/2014,08/05/2026,Peso Mexico,Fabricación de productos de plástico,Otros
JAVER<XMEX>,Servicios Javer,*,MX,Accion,activo,JAVER,BMV,Acciones,13/01/2016,28/01/2025,Peso Mexico,Edificación residencial,Construcción
SIGMAFA<XMEX>,Sigmaf,A,MX,Accion,activo,SIGMAFA,BMV,Acciones,02/12/1991,08/05/2026,Peso Mexico,"Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",Maquinaria Indust
SIMECB<XMEX>,Simec Grupo,B,MX,Accion,activo,SIMECB,BMV,Acciones,02/07/1993,08/05/2026,Peso Mexico,Industria básica del hierro y del acero,Siderur & Metalur
LASITEB-1<XMEX>,Sitios Latinoamerica,B-1,MX,Accion,activo,LASITEB-1,BMV,Acciones,29/09/2022,27/03/2025,Peso Mexico,Otras construcciones y ingeniería civil,Construcción
LASITEB-2<XMEX>,Sitios Latinoamerica,B-2,MX,Accion,activo,LASITEB-2,BMV,Acciones,05/12/2024,24/03/2025,Peso Mexico,Otras construcciones y ingeniería civil,Construcción
SORIANAB<XMEX>,Soriana Organizacio,B,MX,Accion,activo,SORIANAB,BMV,Acciones,03/12/1991,08/05/2026,Peso Mexico,Grandes almacenes,Comercio
SPORTS<XMEX>,Sports World,S,MX,Accion,activo,SPORTS,BMV,Acciones,07/10/2010,08/05/2026,Peso Mexico,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",Otros
TLEVISACPO<XMEX>,Televisa Gpo,CPO,MX,Accion,activo,TLEVISACPO,BMV,Acciones,10/12/1991,08/05/2026,Peso Mexico,Otros servicios de telecomunicaciones,Telecomunicación
NEMAKA<XMEX>,Tenedora Nemak,A,MX,Accion,activo,NEMAKA,BMV,Acciones,01/07/2015,08/05/2026,Peso Mexico,Fabricación de partes para vehículos automotores,Vehículos y Pieza
